id,position,age,area,sex,partner,num_child,education,service_length,study_time,commute,overtime,salary
197,4,49,35,2,0,0,1,29,8,0.6,9.2,529.3429658
198,4,50,31,2,1,1,1,30,0,1.8,9,546.6877526
199,0,27,46,1,0,0,1,7,5,0.1,12.4,182.6601341
200,0,22,22,1,1,4,1,1,0,1.1,12.9,283.9745311
201,4,47,3,1,1,1,2,25,0,2,18.1,595.1698628
202,3,42,9,1,1,3,4,15,5,1.6,15.6,453.2569755
203,1,32,10,1,1,1,0,14,2,1.5,14,301.0591976
204,2,38,29,1,0,0,3,14,4,0.5,12.4,322.4316685
205,0,18,32,2,0,0,0,0,0,0.1,12.5,165.874338
206,1,39,18,1,0,0,1,19,3,0.6,20.3,357.2598515
207,3,49,33,1,1,5,0,31,5,1.6,11.5,550.8627479
208,0,23,45,2,1,0,2,0,6,0.6,6,202.9997542
209,1,22,33,2,1,3,0,1,9,1.6,15.5,368.9826138
210,4,44,8,1,1,2,0,26,4,1.8,17,584.7535137
211,0,24,31,2,0,0,2,1,0,0.2,8.3,201.178199
212,1,40,20,1,1,0,0,22,6,1.2,11.6,306.2370084
213,2,22,41,1,1,2,1,2,7,1.4,15.4,332.7174504
214,1,39,10,2,0,0,0,21,0,0.4,9,252.342364
215,2,40,7,2,0,0,2,18,2,0.8,3.3,299.1915901
216,2,45,5,2,1,5,1,25,5,1.8,7.7,496.066322
217,0,22,42,1,1,2,1,0,1,1.2,11.2,242.8556953
218,0,22,14,1,0,0,1,2,2,0.2,9.5,169.3920868
219,1,29,39,2,0,0,2,3,0,1,16.5,510.9176248
220,1,18,37,1,0,0,0,0,4,0.3,18.3,234.768623
221,0,25,39,1,1,1,1,5,4,1,9,202.8723222
222,1,38,37,1,0,0,1,18,5,0.6,11.2,193.0825269
223,1,33,40,2,0,0,2,11,0,0.5,8.1,266.0401994
224,0,22,24,1,1,0,0,4,5,0.6,14.3,202.2176237
225,2,46,3,2,0,0,1,26,2,0.6,6.2,341.022201
226,4,41,40,2,1,4,0,23,8,1.9,13.3,626.785064
227,1,37,41,1,0,0,0,19,2,0.5,14.1,280.4175694
228,0,23,23,2,1,0,1,3,3,0.9,7.8,197.6399725
229,3,45,24,1,0,0,1,25,1,0.9,14.2,511.4644827
230,0,26,40,1,1,0,0,0,3,0.7,9.2,208.0776988
231,0,23,12,1,1,1,2,0,3,1.2,15.6,208.7451443
232,0,22,42,1,0,0,0,4,2,0.1,10.5,150.8834238
233,2,40,13,2,1,4,1,20,4,3.3,7,474.5969658
234,3,37,3,1,0,0,0,19,6,0.7,11,424.7230318
235,0,25,36,1,1,3,0,7,8,1.1,17.4,269.3959268
236,0,27,20,1,1,1,0,9,1,1.2,19.6,250.834522
237,3,50,47,1,1,0,1,27,3,1.4,6.1,400.7520898
238,4,43,46,1,0,0,2,21,8,1.4,18,753.5707598
239,2,30,44,2,1,1,1,10,4,1.9,9.1,475.8318632
240,2,39,40,1,0,0,4,3,0,1.3,11.5,794.6737287
241,2,31,18,2,0,0,0,13,1,0.9,8.8,453.9796516
242,0,24,6,1,0,0,2,0,5,0.1,13.8,180.4253835
243,1,36,23,2,0,0,1,16,5,0.8,8,451.5263236
244,0,26,14,2,1,3,1,6,7,1.1,15.2,307.688157
245,1,36,40,2,1,1,1,16,8,1.9,10.9,459.8694886
246,0,22,17,2,1,0,1,0,0,0.7,5.8,163.494954
247,0,24,3,2,1,1,2,0,3,1,4.8,204.4292865
248,4,55,37,2,1,4,1,35,0,2,12.8,649.4971964
249,0,25,34,1,1,2,1,5,7,1.3,13.9,264.5835127
250,0,22,37,2,1,3,0,2,6,1.3,11.3,255.4866102
251,0,22,34,1,1,3,0,4,2,1.2,19.8,278.7112481
252,0,21,31,1,1,2,0,3,5,1.1,16.8,247.6973699
253,1,38,18,2,1,3,2,16,4,1.7,9.7,339.8264667
254,0,23,36,2,0,0,1,1,1,0.4,10.9,147.392984
255,2,29,17,2,1,0,0,11,4,0.9,8.8,296.9779025
256,2,31,29,1,1,1,4,1,2,2.3,15.1,800.4906529
257,3,48,12,1,1,4,0,30,6,2,12.3,565.258394
258,0,25,21,2,0,0,3,0,3,0.4,5.9,205.5552806
259,1,28,46,2,0,0,0,1,5,0.6,13.2,257.2459989
260,2,54,3,1,1,4,0,36,2,1.7,10.2,480.0758177
261,0,23,44,2,0,0,1,3,1,0.2,13.3,194.0141336
262,1,26,27,1,1,3,3,2,2,4.2,8.6,600.4332153
263,0,23,19,1,0,0,2,0,3,0.2,9.5,164.8892543
264,1,33,15,2,0,0,1,13,2,0.6,11.2,265.0609372
265,2,35,32,1,1,4,0,17,4,1.5,17,450.0636535
266,2,34,13,1,0,0,4,7,10,2.5,0.1,841.9775703
267,0,23,32,1,1,0,1,3,2,0.8,15.9,215.6210486
268,0,22,6,2,1,2,1,2,2,1.1,4.9,238.3531365
269,0,22,27,2,0,0,1,0,5,1.3,16.3,317.8779223
270,2,55,34,1,0,0,2,33,5,0.7,16.1,433.8879429
271,4,53,20,2,1,2,3,29,6,2.5,11.3,898.4378261
272,0,22,19,2,0,0,1,2,3,0.1,14.8,182.2086901
273,4,52,35,1,0,0,1,32,6,0.8,12.5,590.2708986
274,1,26,29,1,0,0,1,6,3,0.3,13.5,222.3084215
275,0,25,17,2,1,3,1,5,0,1.2,15.4,278.9228129
276,1,27,15,1,1,0,2,5,3,1,15.1,275.7873216
277,0,22,37,2,0,0,0,4,3,0.2,14.2,167.6508527
278,0,22,31,2,1,0,1,0,3,0.6,8.5,197.9723327
279,0,22,11,2,0,0,1,1,4,0.1,14.6,191.6025409
280,0,21,13,1,1,1,1,0,9,2.3,11,237.7117316
281,1,28,17,2,1,3,3,4,4,1.3,14.8,337.9736508
282,0,23,39,2,0,0,1,3,1,0.2,10.2,182.2330075
283,1,31,28,2,1,2,1,11,6,1.6,8.9,324.8710642
284,4,53,24,1,0,0,1,33,5,1.1,12.3,499.7796041
285,3,33,35,1,1,0,2,11,3,1.2,18.7,384.6148178
286,1,31,22,2,0,0,3,7,5,0.4,9.8,233.1092418
287,4,48,46,2,1,2,0,30,3,2,15.9,600.7338319
288,1,38,3,2,0,0,2,16,8,0.5,0.8,252.9257838
289,1,34,19,1,0,0,0,16,3,0.7,20,271.6873298
290,0,26,39,2,1,0,1,6,3,0.7,7.7,191.7824713
291,1,25,8,2,0,0,1,2,3,0.3,7.5,241.16232
292,3,43,10,2,1,4,1,23,2,1.8,10.7,551.435038
293,2,40,31,2,0,0,2,18,3,0.6,14.3,316.3936031
294,1,30,25,2,0,0,2,8,3,0.9,6.5,482.4233591
295,1,41,16,1,1,7,2,19,9,1.5,15.4,448.8910118
296,2,42,14,2,0,0,1,22,9,0.6,9.7,401.3557012
297,0,22,20,2,0,0,0,4,0,0.2,1.9,156.1231965
298,0,27,35,1,1,1,1,7,2,1.2,22.3,275.3872351
299,2,40,38,2,1,3,3,16,10,2.4,10.9,725.1703105
300,1,27,5,1,1,2,1,7,5,1.4,15.8,286.9523297
301,4,55,16,1,0,0,2,33,6,1,11.5,548.0604879
302,0,19,44,1,1,1,0,0,2,1.1,17.3,235.8690596
303,2,40,26,2,0,0,2,18,4,0.5,12.9,351.3679595
304,0,21,14,1,1,2,0,0,7,1.1,13.6,257.0780896
305,2,52,33,1,0,0,3,28,5,1.2,19.6,759.1014633
306,1,39,34,1,1,1,0,11,6,1.4,24.4,367.5189505
307,3,41,45,2,1,3,4,14,7,1.8,8.2,504.7679546
308,0,21,18,2,1,0,1,0,2,0.6,12.6,205.7463929
309,2,28,26,2,0,0,2,6,2,1,11.7,558.3922263
310,0,22,2,2,0,0,0,4,3,0.3,10.8,186.92874
311,1,46,25,1,1,0,2,24,18,1.5,2.8,630.919658
312,4,57,11,1,0,0,1,13,9,1.1,11.3,601.3677131
313,2,54,46,1,1,2,0,36,7,1.9,11.5,462.6760741
314,1,36,6,1,1,2,2,14,7,1.5,19.4,346.0476117
315,2,36,22,2,0,0,2,14,7,0.9,14.2,519.9661107
316,0,27,4,1,0,0,0,9,0,0.2,14.4,217.5843955
317,0,22,5,2,0,0,1,2,1,0.2,9,176.0192858
318,0,25,31,2,0,0,0,7,8,0.1,11.9,179.0463472
319,0,24,37,2,1,3,0,6,7,1.4,9.4,229.4883242
320,0,22,8,1,0,0,1,0,0,0.2,11.6,175.0761971
321,0,20,19,2,0,0,0,0,0,0.7,5.4,265.7368033
322,0,24,17,2,0,0,0,6,2,0.1,5,187.0875192
323,3,46,33,2,1,4,2,24,7,2.2,15.5,660.5446102
324,0,23,16,2,0,0,1,2,0,0.2,4.7,168.5698071
325,0,27,4,1,1,1,1,7,2,1.7,9.3,338.6124359
326,3,44,7,2,1,3,2,22,7,1.8,8.8,518.5196223
327,1,25,29,2,1,1,3,0,11,2.1,9.1,567.7198827
328,0,23,19,1,0,0,1,3,3,0.4,12.1,177.2566796
329,0,19,47,1,0,0,0,0,1,0.1,10.8,140.4773334
330,0,21,14,1,0,0,1,0,4,0.2,10.4,188.5424423
331,0,26,2,2,0,0,0,8,0,0.1,4.2,174.6062631
332,1,27,36,1,1,1,3,3,0,2.1,13.5,602.6635657
333,0,24,46,1,1,2,2,1,2,1.1,12.1,248.2660807
334,1,35,24,1,1,1,0,17,8,1.7,13.2,423.7701709
335,0,25,29,1,0,0,0,7,3,0.3,13.4,189.3252087
336,1,41,47,2,0,0,4,10,3,0.6,11.1,293.7657748
337,1,34,13,1,0,0,3,10,0,1,21.7,357.0942835
338,2,39,1,2,0,0,1,10,1,0.5,11.4,314.0220794
339,0,24,4,2,1,1,1,4,2,1.3,7.6,229.3216048
340,3,31,40,2,0,0,4,4,0,0.8,15.2,428.924583
341,0,27,36,1,0,0,1,7,7,0.3,18.2,189.7439439
342,0,24,25,1,0,0,1,4,1,0.2,15.8,175.2362052
343,0,22,34,1,0,0,1,1,4,0.7,8.7,293.5518462
344,2,35,17,2,1,0,3,11,4,1.8,12.9,597.2624302
345,4,54,13,2,1,2,1,34,4,4,13.9,700.0767618
346,4,48,45,2,0,0,2,26,8,0.9,17.2,593.7963343
347,0,26,37,2,0,0,0,8,3,0.3,17.5,224.2298187
348,2,42,45,2,0,0,3,18,9,0.9,5.8,342.4094554
349,1,36,20,2,0,0,4,6,7,1.1,7.8,702.5803012
350,4,51,30,1,0,0,0,33,0,1.4,3.6,682.0607687
351,0,23,26,1,1,3,1,3,4,1.3,26.8,277.6626919
352,2,54,21,2,0,0,4,27,3,1.3,13.2,925.6913225
353,4,53,46,1,0,0,3,29,14,0.8,9.6,525.9668348
354,3,48,7,1,1,2,1,28,9,2,10.1,649.228054
355,3,40,33,2,1,1,1,20,3,1.9,13.5,470.091505
356,1,28,2,1,1,1,0,10,0,1.5,18,273.6710514
357,1,29,5,1,1,1,2,2,3,1.4,10.6,285.9174479
358,0,23,42,1,1,2,0,5,0,1.2,17.4,224.0081606
359,0,28,38,1,1,4,0,10,4,1.3,13.1,302.4635375
360,2,29,15,2,0,0,0,11,6,0.5,11.3,305.1709916
361,1,29,43,2,0,0,2,7,12,0.5,17.7,285.7785457
362,0,24,45,2,0,0,1,4,5,0.2,7.2,171.8423679
363,1,18,27,2,1,2,0,0,7,2.7,8.4,308.1839897
364,1,24,13,1,1,5,0,6,2,2.9,15.3,432.0365956
365,1,35,44,1,0,0,4,4,1,0.5,16.2,303.8439139
366,0,25,44,2,0,0,0,7,2,0.2,6,183.9869067
367,1,43,32,1,1,0,3,19,15,1.1,4.9,312.269656
368,1,41,40,1,1,2,2,19,5,1.5,8.3,394.9207858
369,2,49,37,2,1,0,1,29,2,0.9,17.4,339.5619167
370,0,26,44,2,0,0,1,6,1,0.3,3.2,176.8650764
371,2,33,42,1,1,1,0,15,0,1.6,12.3,351.209879
372,3,46,20,1,0,0,0,28,5,1.1,9.6,555.2022172
373,1,25,12,2,0,0,0,7,6,0.4,12.6,253.3367074
374,1,18,43,1,0,0,0,0,6,0.5,17.9,235.9495106
375,2,31,9,2,1,5,3,7,11,2,12.2,604.6322286
376,0,23,25,1,1,2,0,5,8,1.3,13.6,257.7276451
377,0,21,19,1,1,1,1,0,1,1.4,13.6,225.336948
378,0,22,27,2,0,0,0,3,0,0.3,5.3,210.4968456
379,0,26,46,2,0,0,0,8,2,0.4,5.7,178.4848898
380,1,43,8,2,0,0,0,25,2,0.5,7.6,310.4036365
381,0,25,3,2,0,0,0,7,1,0.2,8.3,158.7433852
382,0,25,22,1,0,0,0,7,0,0.2,20.8,212.8961861
383,0,22,47,1,0,0,1,2,3,0.2,20,212.3706974
384,1,42,6,1,1,2,0,8,1,1.5,26.9,438.3659394
385,2,31,31,2,1,2,2,9,1,1.9,8.5,588.302443
386,0,22,24,1,0,0,1,0,1,0.3,12.9,178.4495452
387,0,24,41,2,1,4,0,6,6,1.1,7.8,314.0564226
388,3,37,3,2,1,1,2,15,7,1.8,6.2,443.5710775
389,2,35,5,1,0,0,2,13,0,0.7,14,323.7739149
390,4,56,39,1,0,0,1,36,1,1.1,20.8,562.0008934
391,3,42,41,2,0,0,0,24,6,0.9,0.3,559.3882615
392,2,35,15,2,0,0,1,15,0,0.7,12.8,328.0775565
393,2,46,4,2,1,1,3,22,9,2.3,24.7,718.7214007
394,2,42,25,2,0,0,4,15,8,1.4,6.6,785.9455708
395,1,42,13,2,0,0,0,24,8,1,13.1,337.9117754
396,0,25,19,1,0,0,1,5,0,0.2,18.2,187.5525083
397,0,22,4,1,0,0,1,1,2,0.2,11.9,152.6613904
398,2,54,6,1,0,0,1,34,1,0.9,10.1,420.2147731
399,0,23,16,1,0,0,2,0,2,0.2,17.1,211.2391649
400,3,39,3,2,0,0,1,19,0,0.8,15.1,438.3908998
401,3,52,6,1,0,0,4,25,6,1.5,3.8,860.3942354
402,1,46,5,2,0,0,2,24,0,0.7,8.1,304.9625297
403,1,18,4,1,0,0,0,0,7,0.4,17.2,228.9560646
404,0,27,32,2,1,3,1,7,5,1.3,12.9,283.3896339
405,1,33,36,2,1,3,1,13,4,1.9,5.2,475.6857973
406,0,24,26,1,0,0,0,6,3,0.1,12.7,166.559172
407,0,26,38,1,0,0,0,8,4,0.1,16.1,217.12929
408,3,39,37,2,0,0,0,21,5,1,15.3,436.1986971
409,2,28,2,2,0,0,2,6,6,0.6,24.8,343.1859813
410,0,20,42,2,1,0,0,1,6,0.7,15.6,205.8587313
411,3,45,45,1,0,0,3,21,0,0.9,6,518.6275736
412,2,44,21,1,0,0,4,17,7,1.1,20,892.7671135
413,0,20,18,2,1,3,0,0,5,1.1,9.9,242.1002708
